year,region,division,state_fips,county_fips,region_name,division_name,state_abbr,state_name,county_name,cbsa_code,msa_code,csa_code,cbsa_title,msa_title,csa_title,metro
2003,3,06,01,01001,South,East South Central,AL,Alabama,"Autauga County, AL",,C3386,CS388,,"Montgomery, AL ","Montgomery, AL  MSA",1
2003,3,06,01,01003,South,East South Central,AL,Alabama,"Baldwin County, AL",,C1930,CS380,,"Daphne-Fairhope, AL ","Daphne-Fairhope, AL  MicroSA",0
2003,3,06,01,01005,South,East South Central,AL,Alabama,"Barbour County, AL",,C2164,,,"Eufaula, AL-GA","Eufaula, AL-GA MicroSA",0
2003,3,06,01,01007,South,East South Central,AL,Alabama,"Bibb County, AL",,C1382,CS142,,"Birmingham-Hoover, AL ","Birmingham-Hoover, AL  MSA",1
2003,3,06,01,01009,South,East South Central,AL,Alabama,"Blount County, AL",,C1382,CS142,,"Birmingham-Hoover, AL ","Birmingham-Hoover, AL  MSA",1
2003,3,06,01,01011,South,East South Central,AL,Alabama,"Bullock County, AL",,,,,,,0
2003,3,06,01,01013,South,East South Central,AL,Alabama,"Butler County, AL",,,,,,,0
2003,3,06,01,01015,South,East South Central,AL,Alabama,"Calhoun County, AL",,C1150,,,"Anniston-Oxford, AL ","Anniston-Oxford, AL  MSA",1
2003,3,06,01,01017,South,East South Central,AL,Alabama,"Chambers County, AL",,C4674,CS122,,"Valley, AL ","Valley, AL  MicroSA",0
2003,3,06,01,01019,South,East South Central,AL,Alabama,"Cherokee County, AL",,,,,,,0
2003,3,06,01,01021,South,East South Central,AL,Alabama,"Chilton County, AL",,C1382,CS142,,"Birmingham-Hoover, AL ","Birmingham-Hoover, AL  MSA",1
2003,3,06,01,01023,South,East South Central,AL,Alabama,"Choctaw County, AL",,,,,,,0
2003,3,06,01,01025,South,East South Central,AL,Alabama,"Clarke County, AL",,,,,,,0
2003,3,06,01,01027,South,East South Central,AL,Alabama,"Clay County, AL",,,,,,,0
2003,3,06,01,01029,South,East South Central,AL,Alabama,"Cleburne County, AL",,,,,,,0
2003,3,06,01,01031,South,East South Central,AL,Alabama,"Coffee County, AL",,C2146,CS222,,"Enterprise-Ozark, AL ","Enterprise-Ozark, AL  MicroSA",0
2003,3,06,01,01033,South,East South Central,AL,Alabama,"Colbert County, AL",,C2252,,,"Florence-Muscle Shoals, AL","Florence-Muscle Shoals, AL MSA",1
2003,3,06,01,01035,South,East South Central,AL,Alabama,"Conecuh County, AL",,,,,,,0
2003,3,06,01,01037,South,East South Central,AL,Alabama,"Coosa County, AL",,C1076,CS388,,"Alexander City, AL","Alexander City, AL MicroSA",0
2003,3,06,01,01039,South,East South Central,AL,Alabama,"Covington County, AL",,,,,,,0
2003,3,06,01,01041,South,East South Central,AL,Alabama,"Crenshaw County, AL",,,,,,,0
2003,3,06,01,01043,South,East South Central,AL,Alabama,"Cullman County, AL",,C1898,CS142,,"Cullman, AL ","Cullman, AL  MicroSA",0
2003,3,06,01,01045,South,East South Central,AL,Alabama,"Dale County, AL",,C2146,CS222,,"Enterprise-Ozark, AL ","Enterprise-Ozark, AL  MicroSA",0
2003,3,06,01,01047,South,East South Central,AL,Alabama,"Dallas County, AL",,C4282,,,"Selma, AL ","Selma, AL  MicroSA",0
2003,3,06,01,01049,South,East South Central,AL,Alabama,"DeKalb County, AL",,C2284,,,"Fort Payne, AL","Fort Payne, AL MicroSA",0
2003,3,06,01,01051,South,East South Central,AL,Alabama,"Elmore County, AL",,C3386,CS388,,"Montgomery, AL ","Montgomery, AL  MSA",1
2003,3,06,01,01053,South,East South Central,AL,Alabama,"Escambia County, AL",,,,,,,0
2003,3,06,01,01055,South,East South Central,AL,Alabama,"Etowah County, AL",,C2346,,,"Gadsden, AL ","Gadsden, AL  MSA",1
2003,3,06,01,01057,South,East South Central,AL,Alabama,"Fayette County, AL",,,,,,,0
2003,3,06,01,01059,South,East South Central,AL,Alabama,"Franklin County, AL",,,,,,,0
2003,3,06,01,01061,South,East South Central,AL,Alabama,"Geneva County, AL",,C2002,CS222,,"Dothan, AL ","Dothan, AL  MSA",1
2003,3,06,01,01063,South,East South Central,AL,Alabama,"Greene County, AL",,C4622,,,"Tuscaloosa, AL ","Tuscaloosa, AL  MSA",1
2003,3,06,01,01065,South,East South Central,AL,Alabama,"Hale County, AL",,C4622,,,"Tuscaloosa, AL ","Tuscaloosa, AL  MSA",1
2003,3,06,01,01067,South,East South Central,AL,Alabama,"Henry County, AL",,C2002,CS222,,"Dothan, AL ","Dothan, AL  MSA",1
2003,3,06,01,01069,South,East South Central,AL,Alabama,"Houston County, AL",,C2002,CS222,,"Dothan, AL ","Dothan, AL  MSA",1
2003,3,06,01,01071,South,East South Central,AL,Alabama,"Jackson County, AL",,C4246,,,"Scottsboro, AL ","Scottsboro, AL  MicroSA",0
2003,3,06,01,01073,South,East South Central,AL,Alabama,"Jefferson County, AL",,C1382,CS142,,"Birmingham-Hoover, AL ","Birmingham-Hoover, AL  MSA",1
2003,3,06,01,01075,South,East South Central,AL,Alabama,"Lamar County, AL",,,,,,,0
2003,3,06,01,01077,South,East South Central,AL,Alabama,"Lauderdale County, AL",,C2252,,,"Florence-Muscle Shoals, AL","Florence-Muscle Shoals, AL MSA",1
2003,3,06,01,01079,South,East South Central,AL,Alabama,"Lawrence County, AL",,C1946,CS290,,"Decatur, AL ","Decatur, AL  MSA",1
2003,3,06,01,01081,South,East South Central,AL,Alabama,"Lee County, AL",,C1222,CS194,,"Auburn-Opelika, AL ","Auburn-Opelika, AL  MSA",1
2003,3,06,01,01083,South,East South Central,AL,Alabama,"Limestone County, AL",,C2662,CS290,,"Huntsville, AL ","Huntsville, AL  MSA",1
2003,3,06,01,01085,South,East South Central,AL,Alabama,"Lowndes County, AL",,C3386,CS388,,"Montgomery, AL ","Montgomery, AL  MSA",1
2003,3,06,01,01087,South,East South Central,AL,Alabama,"Macon County, AL",,C4626,CS194,,"Tuskegee, AL ","Tuskegee, AL  MicroSA",0
2003,3,06,01,01089,South,East South Central,AL,Alabama,"Madison County, AL",,C2662,CS290,,"Huntsville, AL ","Huntsville, AL  MSA",1
2003,3,06,01,01091,South,East South Central,AL,Alabama,"Marengo County, AL",,,,,,,0
2003,3,06,01,01093,South,East South Central,AL,Alabama,"Marion County, AL",,,,,,,0
2003,3,06,01,01095,South,East South Central,AL,Alabama,"Marshall County, AL",,C1070,,,"Albertville, AL ","Albertville, AL  MicroSA",0
2003,3,06,01,01097,South,East South Central,AL,Alabama,"Mobile County, AL",,C3366,CS380,,"Mobile, AL ","Mobile, AL  MSA",1
2003,3,06,01,01099,South,East South Central,AL,Alabama,"Monroe County, AL",,,,,,,0
2003,3,06,01,01101,South,East South Central,AL,Alabama,"Montgomery County, AL",,C3386,CS388,,"Montgomery, AL ","Montgomery, AL  MSA",1
2003,3,06,01,01103,South,East South Central,AL,Alabama,"Morgan County, AL",,C1946,CS290,,"Decatur, AL ","Decatur, AL  MSA",1
2003,3,06,01,01105,South,East South Central,AL,Alabama,"Perry County, AL",,,,,,,0
2003,3,06,01,01107,South,East South Central,AL,Alabama,"Pickens County, AL",,,,,,,0
2003,3,06,01,01109,South,East South Central,AL,Alabama,"Pike County, AL",,C4598,,,"Troy, AL ","Troy, AL  MicroSA",0
2003,3,06,01,01111,South,East South Central,AL,Alabama,"Randolph County, AL",,,,,,,0
2003,3,06,01,01113,South,East South Central,AL,Alabama,"Russell County, AL",,C1798,CS194,,"Columbus, GA-AL ","Columbus, GA-AL  MSA",1
2003,3,06,01,01115,South,East South Central,AL,Alabama,"St. Clair County, AL",,C1382,CS142,,"Birmingham-Hoover, AL ","Birmingham-Hoover, AL  MSA",1
2003,3,06,01,01117,South,East South Central,AL,Alabama,"Shelby County, AL",,C1382,CS142,,"Birmingham-Hoover, AL ","Birmingham-Hoover, AL  MSA",1
2003,3,06,01,01119,South,East South Central,AL,Alabama,"Sumter County, AL",,,,,,,0
2003,3,06,01,01121,South,East South Central,AL,Alabama,"Talladega County, AL",,C4518,,,"Talladega-Sylacauga, AL ","Talladega-Sylacauga, AL  MicroSA",0
2003,3,06,01,01123,South,East South Central,AL,Alabama,"Tallapoosa County, AL",,C1076,CS388,,"Alexander City, AL","Alexander City, AL MicroSA",0
2003,3,06,01,01125,South,East South Central,AL,Alabama,"Tuscaloosa County, AL",,C4622,,,"Tuscaloosa, AL ","Tuscaloosa, AL  MSA",1
2003,3,06,01,01127,South,East South Central,AL,Alabama,"Walker County, AL",,C1382,CS142,,"Birmingham-Hoover, AL ","Birmingham-Hoover, AL  MSA",1
2003,3,06,01,01129,South,East South Central,AL,Alabama,"Washington County, AL",,,,,,,0
2003,3,06,01,01131,South,East South Central,AL,Alabama,"Wilcox County, AL",,,,,,,0
2003,3,06,01,01133,South,East South Central,AL,Alabama,"Winston County, AL",,,,,,,0
2003,4,09,02,02013,West,Pacific,AK,Alaska,"Aleutians East Borough, AK",,,,,,,0
2003,4,09,02,02016,West,Pacific,AK,Alaska,"Aleutians West Census Area, AK",,,,,,,0
2003,4,09,02,02020,West,Pacific,AK,Alaska,"Anchorage Municipality, AK",,C1126,,,"Anchorage, AK ","Anchorage, AK  MSA",1
2003,4,09,02,02050,West,Pacific,AK,Alaska,"Bethel Census Area, AK",,,,,,,0
2003,4,09,02,02060,West,Pacific,AK,Alaska,"Bristol Bay Borough, AK",,,,,,,0
2003,4,09,02,02063,West,Pacific,AK,Alaska,"Chugach Census Area, AK",,,,,,,0
2003,4,09,02,02066,West,Pacific,AK,Alaska,"Copper River Census Area, AK",,,,,,,0
2003,4,09,02,02068,West,Pacific,AK,Alaska,"Denali Borough, AK",,,,,,,0
2003,4,09,02,02070,West,Pacific,AK,Alaska,"Dillingham Census Area, AK",,,,,,,0
2003,4,09,02,02090,West,Pacific,AK,Alaska,"Fairbanks North Star Borough, AK",,C2182,,,"Fairbanks, AK ","Fairbanks, AK  MSA",1
2003,4,09,02,02100,West,Pacific,AK,Alaska,"Haines Borough, AK",,,,,,,0
2003,4,09,02,02105,West,Pacific,AK,Alaska,"Hoonah-Angoon Census Area, AK",,,,,,,0
2003,4,09,02,02110,West,Pacific,AK,Alaska,"Juneau City and Borough, AK",,C2794,,,"Juneau, AK ","Juneau, AK  MicroSA",0
2003,4,09,02,02122,West,Pacific,AK,Alaska,"Kenai Peninsula Borough, AK",,,,,,,0
