state_fips,county_fips,cbsa_code,msa_code,csa_code,cbsa_title,msa_title,csa_title,metro,central
1,1,,C3386,CS388,,"Montgomery, AL  MSA","Montgomery-Alexander City, AL CSA",,
1,3,,C1930,CS380,,"Daphne-Fairhope, AL  MicroSA","Mobile-Daphne-Fairhope, AL CSA",,
1,5,,C2164,,,"Eufaula, AL-GA MicroSA",,,
1,7,,C1382,CS142,,"Birmingham-Hoover, AL  MSA","Birmingham-Hoover-Cullman, AL CSA",,
1,9,,C1382,CS142,,"Birmingham-Hoover, AL  MSA","Birmingham-Hoover-Cullman, AL CSA",,
1,15,,C1150,,,"Anniston-Oxford, AL  MSA",,,
1,17,,C4674,CS122,,"Valley, AL  MicroSA","Atlanta-Sandy Springs-Gainesville, GA-AL CSA",,
1,21,,C1382,CS142,,"Birmingham-Hoover, AL  MSA","Birmingham-Hoover-Cullman, AL CSA",,
1,31,,C2146,CS222,,"Enterprise-Ozark, AL  MicroSA","Dothan-Enterprise-Ozark, AL CSA",,
1,33,,C2252,,,"Florence-Muscle Shoals, AL MSA",,,
1,37,,C1076,CS388,,"Alexander City, AL MicroSA","Montgomery-Alexander City, AL CSA",,
1,43,,C1898,CS142,,"Cullman, AL  MicroSA","Birmingham-Hoover-Cullman, AL CSA",,
1,45,,C2146,CS222,,"Enterprise-Ozark, AL  MicroSA","Dothan-Enterprise-Ozark, AL CSA",,
1,47,,C4282,,,"Selma, AL  MicroSA",,,
1,49,,C2284,,,"Fort Payne, AL MicroSA",,,
1,51,,C3386,CS388,,"Montgomery, AL  MSA","Montgomery-Alexander City, AL CSA",,
1,55,,C2346,,,"Gadsden, AL  MSA",,,
1,61,,C2002,CS222,,"Dothan, AL  MSA","Dothan-Enterprise-Ozark, AL CSA",,
1,63,,C4622,,,"Tuscaloosa, AL  MSA",,,
1,65,,C4622,,,"Tuscaloosa, AL  MSA",,,
1,67,,C2002,CS222,,"Dothan, AL  MSA","Dothan-Enterprise-Ozark, AL CSA",,
1,69,,C2002,CS222,,"Dothan, AL  MSA","Dothan-Enterprise-Ozark, AL CSA",,
1,71,,C4246,,,"Scottsboro, AL  MicroSA",,,
1,73,,C1382,CS142,,"Birmingham-Hoover, AL  MSA","Birmingham-Hoover-Cullman, AL CSA",,
1,77,,C2252,,,"Florence-Muscle Shoals, AL MSA",,,
1,79,,C1946,CS290,,"Decatur, AL  MSA","Huntsville-Decatur, AL CSA",,
1,81,,C1222,CS194,,"Auburn-Opelika, AL  MSA","Columbus-Auburn-Opelika, GA-AL CSA",,
1,83,,C2662,CS290,,"Huntsville, AL  MSA","Huntsville-Decatur, AL CSA",,
1,85,,C3386,CS388,,"Montgomery, AL  MSA","Montgomery-Alexander City, AL CSA",,
1,87,,C4626,CS194,,"Tuskegee, AL  MicroSA","Columbus-Auburn-Opelika, GA-AL CSA",,
1,89,,C2662,CS290,,"Huntsville, AL  MSA","Huntsville-Decatur, AL CSA",,
1,95,,C1070,,,"Albertville, AL  MicroSA",,,
1,97,,C3366,CS380,,"Mobile, AL  MSA","Mobile-Daphne-Fairhope, AL CSA",,
1,101,,C3386,CS388,,"Montgomery, AL  MSA","Montgomery-Alexander City, AL CSA",,
1,103,,C1946,CS290,,"Decatur, AL  MSA","Huntsville-Decatur, AL CSA",,
1,109,,C4598,,,"Troy, AL  MicroSA",,,
1,113,,C1798,CS194,,"Columbus, GA-AL  MSA","Columbus-Auburn-Opelika, GA-AL CSA",,
1,115,,C1382,CS142,,"Birmingham-Hoover, AL  MSA","Birmingham-Hoover-Cullman, AL CSA",,
1,117,,C1382,CS142,,"Birmingham-Hoover, AL  MSA","Birmingham-Hoover-Cullman, AL CSA",,
1,121,,C4518,,,"Talladega-Sylacauga, AL  MicroSA",,,
1,123,,C1076,CS388,,"Alexander City, AL MicroSA","Montgomery-Alexander City, AL CSA",,
1,125,,C4622,,,"Tuscaloosa, AL  MSA",,,
1,127,,C1382,CS142,,"Birmingham-Hoover, AL  MSA","Birmingham-Hoover-Cullman, AL CSA",,
2,20,,C1126,,,"Anchorage, AK  MSA",,,
2,90,,C2182,,,"Fairbanks, AK  MSA",,,
2,110,,C2794,,,"Juneau, AK  MicroSA",,,
2,130,,C2854,,,"Ketchikan, AK  MicroSA",,,
2,150,,C2898,,,"Kodiak, AK  MicroSA",,,
2,170,,C1126,,,"Anchorage, AK  MSA",,,
4,3,,C4342,,,"Sierra Vista-Douglas, AZ  MicroSA",,,
4,5,,C2238,,,"Flagstaff, AZ  MSA",,,
4,7,,C3774,,,"Payson, AZ  MicroSA",,,
4,9,,C4094,,,"Safford, AZ  MicroSA",,,
4,11,,C4094,,,"Safford, AZ  MicroSA",,,
4,13,,C3806,,,"Phoenix-Mesa-Scottsdale, AZ  MSA",,,
4,15,,C2942,,,"Lake Havasu City-Kingman, AZ  MicroSA",,,
4,19,,C4606,,,"Tucson, AZ  MSA",,,
4,21,,C3806,,,"Phoenix-Mesa-Scottsdale, AZ  MSA",,,
4,23,,C3570,,,"Nogales, AZ  MicroSA",,,
4,25,,C3914,,,"Prescott, AZ  MSA",,,
4,27,,C4974,,,"Yuma, AZ  MSA",,,
5,5,,C3426,,,"Mountain Home, AR  MicroSA",,,
5,7,,C2222,,,"Fayetteville-Springdale-Rogers, AR-MO MSA",,,
5,9,,C2546,,,"Harrison, AR  MicroSA",,,
5,13,,C1578,,,"Camden, AR  MicroSA",,,
5,19,,C1166,,,"Arkadelphia, AR  MicroSA",,,
5,25,,C3822,CS340,,"Pine Bluff, AR  MSA","Little Rock-North Little Rock-Pine Bluff, AR CSA",,
5,27,,C3162,,,"Magnolia, AR  MicroSA",,,
