region,division,state_fips,county_fips,region_name,division_name,state_abbr,state_name,county_name
1,01,09,09001,Northeast,New England,CT,Connecticut,"Fairfield County, CT"
1,01,09,09003,Northeast,New England,CT,Connecticut,"Hartford County, CT"
1,01,09,09005,Northeast,New England,CT,Connecticut,"Litchfield County, CT"
1,01,09,09007,Northeast,New England,CT,Connecticut,"Middlesex County, CT"
1,01,09,09009,Northeast,New England,CT,Connecticut,"New Haven County, CT"
1,01,09,09011,Northeast,New England,CT,Connecticut,"New London County, CT"
1,01,09,09013,Northeast,New England,CT,Connecticut,"Tolland County, CT"
1,01,09,09015,Northeast,New England,CT,Connecticut,"Windham County, CT"
1,01,23,23001,Northeast,New England,ME,Maine,"Androscoggin County, ME"
1,01,23,23003,Northeast,New England,ME,Maine,"Aroostook County, ME"
1,01,23,23005,Northeast,New England,ME,Maine,"Cumberland County, ME"
1,01,23,23007,Northeast,New England,ME,Maine,"Franklin County, ME"
1,01,23,23009,Northeast,New England,ME,Maine,"Hancock County, ME"
1,01,23,23011,Northeast,New England,ME,Maine,"Kennebec County, ME"
1,01,23,23013,Northeast,New England,ME,Maine,"Knox County, ME"
1,01,23,23015,Northeast,New England,ME,Maine,"Lincoln County, ME"
1,01,23,23017,Northeast,New England,ME,Maine,"Oxford County, ME"
1,01,23,23019,Northeast,New England,ME,Maine,"Penobscot County, ME"
1,01,23,23021,Northeast,New England,ME,Maine,"Piscataquis County, ME"
1,01,23,23023,Northeast,New England,ME,Maine,"Sagadahoc County, ME"
1,01,23,23025,Northeast,New England,ME,Maine,"Somerset County, ME"
1,01,23,23027,Northeast,New England,ME,Maine,"Waldo County, ME"
1,01,23,23029,Northeast,New England,ME,Maine,"Washington County, ME"
1,01,23,23031,Northeast,New England,ME,Maine,"York County, ME"
1,01,25,25001,Northeast,New England,MA,Massachusetts,"Barnstable County, MA"
1,01,25,25003,Northeast,New England,MA,Massachusetts,"Berkshire County, MA"
1,01,25,25005,Northeast,New England,MA,Massachusetts,"Bristol County, MA"
1,01,25,25007,Northeast,New England,MA,Massachusetts,"Dukes County, MA"
1,01,25,25009,Northeast,New England,MA,Massachusetts,"Essex County, MA"
1,01,25,25011,Northeast,New England,MA,Massachusetts,"Franklin County, MA"
1,01,25,25013,Northeast,New England,MA,Massachusetts,"Hampden County, MA"
1,01,25,25015,Northeast,New England,MA,Massachusetts,"Hampshire County, MA"
1,01,25,25017,Northeast,New England,MA,Massachusetts,"Middlesex County, MA"
1,01,25,25019,Northeast,New England,MA,Massachusetts,"Nantucket County, MA"
1,01,25,25021,Northeast,New England,MA,Massachusetts,"Norfolk County, MA"
1,01,25,25023,Northeast,New England,MA,Massachusetts,"Plymouth County, MA"
1,01,25,25025,Northeast,New England,MA,Massachusetts,"Suffolk County, MA"
1,01,25,25027,Northeast,New England,MA,Massachusetts,"Worcester County, MA"
1,01,33,33001,Northeast,New England,NH,New Hampshire,"Belknap County, NH"
1,01,33,33003,Northeast,New England,NH,New Hampshire,"Carroll County, NH"
1,01,33,33005,Northeast,New England,NH,New Hampshire,"Cheshire County, NH"
1,01,33,33007,Northeast,New England,NH,New Hampshire,"Coos County, NH"
1,01,33,33009,Northeast,New England,NH,New Hampshire,"Grafton County, NH"
1,01,33,33011,Northeast,New England,NH,New Hampshire,"Hillsborough County, NH"
1,01,33,33013,Northeast,New England,NH,New Hampshire,"Merrimack County, NH"
1,01,33,33015,Northeast,New England,NH,New Hampshire,"Rockingham County, NH"
1,01,33,33017,Northeast,New England,NH,New Hampshire,"Strafford County, NH"
1,01,33,33019,Northeast,New England,NH,New Hampshire,"Sullivan County, NH"
1,01,44,44001,Northeast,New England,RI,Rhode Island,"Bristol County, RI"
1,01,44,44003,Northeast,New England,RI,Rhode Island,"Kent County, RI"
1,01,44,44005,Northeast,New England,RI,Rhode Island,"Newport County, RI"
1,01,44,44007,Northeast,New England,RI,Rhode Island,"Providence County, RI"
1,01,44,44009,Northeast,New England,RI,Rhode Island,"Washington County, RI"
1,01,50,50001,Northeast,New England,VT,Vermont,"Addison County, VT"
1,01,50,50003,Northeast,New England,VT,Vermont,"Bennington County, VT"
1,01,50,50005,Northeast,New England,VT,Vermont,"Caledonia County, VT"
1,01,50,50007,Northeast,New England,VT,Vermont,"Chittenden County, VT"
1,01,50,50009,Northeast,New England,VT,Vermont,"Essex County, VT"
1,01,50,50011,Northeast,New England,VT,Vermont,"Franklin County, VT"
1,01,50,50013,Northeast,New England,VT,Vermont,"Grand Isle County, VT"
1,01,50,50015,Northeast,New England,VT,Vermont,"Lamoille County, VT"
1,01,50,50017,Northeast,New England,VT,Vermont,"Orange County, VT"
1,01,50,50019,Northeast,New England,VT,Vermont,"Orleans County, VT"
1,01,50,50021,Northeast,New England,VT,Vermont,"Rutland County, VT"
1,01,50,50023,Northeast,New England,VT,Vermont,"Washington County, VT"
1,01,50,50025,Northeast,New England,VT,Vermont,"Windham County, VT"
1,01,50,50027,Northeast,New England,VT,Vermont,"Windsor County, VT"
1,02,34,34001,Northeast,Middle Atlantic,NJ,New Jersey,"Atlantic County, NJ"
1,02,34,34003,Northeast,Middle Atlantic,NJ,New Jersey,"Bergen County, NJ"
1,02,34,34005,Northeast,Middle Atlantic,NJ,New Jersey,"Burlington County, NJ"
1,02,34,34007,Northeast,Middle Atlantic,NJ,New Jersey,"Camden County, NJ"
1,02,34,34009,Northeast,Middle Atlantic,NJ,New Jersey,"Cape May County, NJ"
1,02,34,34011,Northeast,Middle Atlantic,NJ,New Jersey,"Cumberland County, NJ"
1,02,34,34013,Northeast,Middle Atlantic,NJ,New Jersey,"Essex County, NJ"
1,02,34,34015,Northeast,Middle Atlantic,NJ,New Jersey,"Gloucester County, NJ"
1,02,34,34017,Northeast,Middle Atlantic,NJ,New Jersey,"Hudson County, NJ"
1,02,34,34019,Northeast,Middle Atlantic,NJ,New Jersey,"Hunterdon County, NJ"
1,02,34,34021,Northeast,Middle Atlantic,NJ,New Jersey,"Mercer County, NJ"
1,02,34,34023,Northeast,Middle Atlantic,NJ,New Jersey,"Middlesex County, NJ"
1,02,34,34025,Northeast,Middle Atlantic,NJ,New Jersey,"Monmouth County, NJ"
1,02,34,34027,Northeast,Middle Atlantic,NJ,New Jersey,"Morris County, NJ"
1,02,34,34029,Northeast,Middle Atlantic,NJ,New Jersey,"Ocean County, NJ"
1,02,34,34031,Northeast,Middle Atlantic,NJ,New Jersey,"Passaic County, NJ"
1,02,34,34033,Northeast,Middle Atlantic,NJ,New Jersey,"Salem County, NJ"
1,02,34,34035,Northeast,Middle Atlantic,NJ,New Jersey,"Somerset County, NJ"
1,02,34,34037,Northeast,Middle Atlantic,NJ,New Jersey,"Sussex County, NJ"
1,02,34,34039,Northeast,Middle Atlantic,NJ,New Jersey,"Union County, NJ"
1,02,34,34041,Northeast,Middle Atlantic,NJ,New Jersey,"Warren County, NJ"
1,02,36,36001,Northeast,Middle Atlantic,NY,New York,"Albany County, NY"
1,02,36,36003,Northeast,Middle Atlantic,NY,New York,"Allegany County, NY"
1,02,36,36005,Northeast,Middle Atlantic,NY,New York,"Bronx County, NY"
1,02,36,36007,Northeast,Middle Atlantic,NY,New York,"Broome County, NY"
1,02,36,36009,Northeast,Middle Atlantic,NY,New York,"Cattaraugus County, NY"
1,02,36,36101,Northeast,Middle Atlantic,NY,New York,"Steuben County, NY"
1,02,36,36103,Northeast,Middle Atlantic,NY,New York,"Suffolk County, NY"
1,02,36,36105,Northeast,Middle Atlantic,NY,New York,"Sullivan County, NY"
1,02,36,36107,Northeast,Middle Atlantic,NY,New York,"Tioga County, NY"
1,02,36,36109,Northeast,Middle Atlantic,NY,New York,"Tompkins County, NY"
1,02,36,36011,Northeast,Middle Atlantic,NY,New York,"Cayuga County, NY"
1,02,36,36111,Northeast,Middle Atlantic,NY,New York,"Ulster County, NY"
1,02,36,36113,Northeast,Middle Atlantic,NY,New York,"Warren County, NY"
1,02,36,36115,Northeast,Middle Atlantic,NY,New York,"Washington County, NY"
1,02,36,36117,Northeast,Middle Atlantic,NY,New York,"Wayne County, NY"
1,02,36,36119,Northeast,Middle Atlantic,NY,New York,"Westchester County, NY"
1,02,36,36121,Northeast,Middle Atlantic,NY,New York,"Wyoming County, NY"
1,02,36,36123,Northeast,Middle Atlantic,NY,New York,"Yates County, NY"
1,02,36,36013,Northeast,Middle Atlantic,NY,New York,"Chautauqua County, NY"
1,02,36,36015,Northeast,Middle Atlantic,NY,New York,"Chemung County, NY"
1,02,36,36017,Northeast,Middle Atlantic,NY,New York,"Chenango County, NY"
1,02,36,36019,Northeast,Middle Atlantic,NY,New York,"Clinton County, NY"
1,02,36,36021,Northeast,Middle Atlantic,NY,New York,"Columbia County, NY"
1,02,36,36023,Northeast,Middle Atlantic,NY,New York,"Cortland County, NY"
1,02,36,36025,Northeast,Middle Atlantic,NY,New York,"Delaware County, NY"
1,02,36,36027,Northeast,Middle Atlantic,NY,New York,"Dutchess County, NY"
1,02,36,36029,Northeast,Middle Atlantic,NY,New York,"Erie County, NY"
1,02,36,36031,Northeast,Middle Atlantic,NY,New York,"Essex County, NY"
1,02,36,36033,Northeast,Middle Atlantic,NY,New York,"Franklin County, NY"
1,02,36,36035,Northeast,Middle Atlantic,NY,New York,"Fulton County, NY"
1,02,36,36037,Northeast,Middle Atlantic,NY,New York,"Genesee County, NY"
1,02,36,36039,Northeast,Middle Atlantic,NY,New York,"Greene County, NY"
1,02,36,36041,Northeast,Middle Atlantic,NY,New York,"Hamilton County, NY"
1,02,36,36043,Northeast,Middle Atlantic,NY,New York,"Herkimer County, NY"
1,02,36,36045,Northeast,Middle Atlantic,NY,New York,"Jefferson County, NY"
1,02,36,36047,Northeast,Middle Atlantic,NY,New York,"Kings County, NY"
1,02,36,36049,Northeast,Middle Atlantic,NY,New York,"Lewis County, NY"
1,02,36,36051,Northeast,Middle Atlantic,NY,New York,"Livingston County, NY"
1,02,36,36053,Northeast,Middle Atlantic,NY,New York,"Madison County, NY"
1,02,36,36055,Northeast,Middle Atlantic,NY,New York,"Monroe County, NY"
1,02,36,36057,Northeast,Middle Atlantic,NY,New York,"Montgomery County, NY"
1,02,36,36059,Northeast,Middle Atlantic,NY,New York,"Nassau County, NY"
1,02,36,36061,Northeast,Middle Atlantic,NY,New York,"New York County, NY"
1,02,36,36063,Northeast,Middle Atlantic,NY,New York,"Niagara County, NY"
1,02,36,36065,Northeast,Middle Atlantic,NY,New York,"Oneida County, NY"
1,02,36,36067,Northeast,Middle Atlantic,NY,New York,"Onondaga County, NY"
1,02,36,36069,Northeast,Middle Atlantic,NY,New York,"Ontario County, NY"
1,02,36,36071,Northeast,Middle Atlantic,NY,New York,"Orange County, NY"
1,02,36,36073,Northeast,Middle Atlantic,NY,New York,"Orleans County, NY"
1,02,36,36075,Northeast,Middle Atlantic,NY,New York,"Oswego County, NY"
1,02,36,36077,Northeast,Middle Atlantic,NY,New York,"Otsego County, NY"
1,02,36,36079,Northeast,Middle Atlantic,NY,New York,"Putnam County, NY"
1,02,36,36081,Northeast,Middle Atlantic,NY,New York,"Queens County, NY"
1,02,36,36083,Northeast,Middle Atlantic,NY,New York,"Rensselaer County, NY"
1,02,36,36085,Northeast,Middle Atlantic,NY,New York,"Richmond County, NY"
1,02,36,36087,Northeast,Middle Atlantic,NY,New York,"Rockland County, NY"
1,02,36,36089,Northeast,Middle Atlantic,NY,New York,"St. Lawrence County, NY"
1,02,36,36091,Northeast,Middle Atlantic,NY,New York,"Saratoga County, NY"
1,02,36,36093,Northeast,Middle Atlantic,NY,New York,"Schenectady County, NY"
1,02,36,36095,Northeast,Middle Atlantic,NY,New York,"Schoharie County, NY"
1,02,36,36097,Northeast,Middle Atlantic,NY,New York,"Schuyler County, NY"
1,02,36,36099,Northeast,Middle Atlantic,NY,New York,"Seneca County, NY"
1,02,42,42001,Northeast,Middle Atlantic,PA,Pennsylvania,"Adams County, PA"
1,02,42,42003,Northeast,Middle Atlantic,PA,Pennsylvania,"Allegheny County, PA"
1,02,42,42005,Northeast,Middle Atlantic,PA,Pennsylvania,"Armstrong County, PA"
1,02,42,42007,Northeast,Middle Atlantic,PA,Pennsylvania,"Beaver County, PA"
1,02,42,42009,Northeast,Middle Atlantic,PA,Pennsylvania,"Bedford County, PA"
1,02,42,42101,Northeast,Middle Atlantic,PA,Pennsylvania,"Philadelphia County, PA"
1,02,42,42103,Northeast,Middle Atlantic,PA,Pennsylvania,"Pike County, PA"
1,02,42,42105,Northeast,Middle Atlantic,PA,Pennsylvania,"Potter County, PA"
1,02,42,42107,Northeast,Middle Atlantic,PA,Pennsylvania,"Schuylkill County, PA"
1,02,42,42109,Northeast,Middle Atlantic,PA,Pennsylvania,"Snyder County, PA"
1,02,42,42011,Northeast,Middle Atlantic,PA,Pennsylvania,"Berks County, PA"
1,02,42,42111,Northeast,Middle Atlantic,PA,Pennsylvania,"Somerset County, PA"
1,02,42,42113,Northeast,Middle Atlantic,PA,Pennsylvania,"Sullivan County, PA"
1,02,42,42115,Northeast,Middle Atlantic,PA,Pennsylvania,"Susquehanna County, PA"
1,02,42,42117,Northeast,Middle Atlantic,PA,Pennsylvania,"Tioga County, PA"
1,02,42,42119,Northeast,Middle Atlantic,PA,Pennsylvania,"Union County, PA"
1,02,42,42121,Northeast,Middle Atlantic,PA,Pennsylvania,"Venango County, PA"
1,02,42,42123,Northeast,Middle Atlantic,PA,Pennsylvania,"Warren County, PA"
1,02,42,42125,Northeast,Middle Atlantic,PA,Pennsylvania,"Washington County, PA"
1,02,42,42127,Northeast,Middle Atlantic,PA,Pennsylvania,"Wayne County, PA"
1,02,42,42129,Northeast,Middle Atlantic,PA,Pennsylvania,"Westmoreland County, PA"
1,02,42,42013,Northeast,Middle Atlantic,PA,Pennsylvania,"Blair County, PA"
1,02,42,42131,Northeast,Middle Atlantic,PA,Pennsylvania,"Wyoming County, PA"
1,02,42,42133,Northeast,Middle Atlantic,PA,Pennsylvania,"York County, PA"
1,02,42,42015,Northeast,Middle Atlantic,PA,Pennsylvania,"Bradford County, PA"
1,02,42,42017,Northeast,Middle Atlantic,PA,Pennsylvania,"Bucks County, PA"
1,02,42,42019,Northeast,Middle Atlantic,PA,Pennsylvania,"Butler County, PA"
1,02,42,42021,Northeast,Middle Atlantic,PA,Pennsylvania,"Cambria County, PA"
1,02,42,42023,Northeast,Middle Atlantic,PA,Pennsylvania,"Cameron County, PA"
1,02,42,42025,Northeast,Middle Atlantic,PA,Pennsylvania,"Carbon County, PA"
1,02,42,42027,Northeast,Middle Atlantic,PA,Pennsylvania,"Centre County, PA"
1,02,42,42029,Northeast,Middle Atlantic,PA,Pennsylvania,"Chester County, PA"
1,02,42,42031,Northeast,Middle Atlantic,PA,Pennsylvania,"Clarion County, PA"
1,02,42,42033,Northeast,Middle Atlantic,PA,Pennsylvania,"Clearfield County, PA"
1,02,42,42035,Northeast,Middle Atlantic,PA,Pennsylvania,"Clinton County, PA"
1,02,42,42037,Northeast,Middle Atlantic,PA,Pennsylvania,"Columbia County, PA"
1,02,42,42039,Northeast,Middle Atlantic,PA,Pennsylvania,"Crawford County, PA"
1,02,42,42041,Northeast,Middle Atlantic,PA,Pennsylvania,"Cumberland County, PA"
1,02,42,42043,Northeast,Middle Atlantic,PA,Pennsylvania,"Dauphin County, PA"
1,02,42,42045,Northeast,Middle Atlantic,PA,Pennsylvania,"Delaware County, PA"
1,02,42,42047,Northeast,Middle Atlantic,PA,Pennsylvania,"Elk County, PA"
1,02,42,42049,Northeast,Middle Atlantic,PA,Pennsylvania,"Erie County, PA"
1,02,42,42051,Northeast,Middle Atlantic,PA,Pennsylvania,"Fayette County, PA"
1,02,42,42053,Northeast,Middle Atlantic,PA,Pennsylvania,"Forest County, PA"
1,02,42,42055,Northeast,Middle Atlantic,PA,Pennsylvania,"Franklin County, PA"
1,02,42,42057,Northeast,Middle Atlantic,PA,Pennsylvania,"Fulton County, PA"
1,02,42,42059,Northeast,Middle Atlantic,PA,Pennsylvania,"Greene County, PA"
1,02,42,42061,Northeast,Middle Atlantic,PA,Pennsylvania,"Huntingdon County, PA"
1,02,42,42063,Northeast,Middle Atlantic,PA,Pennsylvania,"Indiana County, PA"
1,02,42,42065,Northeast,Middle Atlantic,PA,Pennsylvania,"Jefferson County, PA"
1,02,42,42067,Northeast,Middle Atlantic,PA,Pennsylvania,"Juniata County, PA"
1,02,42,42069,Northeast,Middle Atlantic,PA,Pennsylvania,"Lackawanna County, PA"
1,02,42,42071,Northeast,Middle Atlantic,PA,Pennsylvania,"Lancaster County, PA"
1,02,42,42073,Northeast,Middle Atlantic,PA,Pennsylvania,"Lawrence County, PA"
1,02,42,42075,Northeast,Middle Atlantic,PA,Pennsylvania,"Lebanon County, PA"
1,02,42,42077,Northeast,Middle Atlantic,PA,Pennsylvania,"Lehigh County, PA"
1,02,42,42079,Northeast,Middle Atlantic,PA,Pennsylvania,"Luzerne County, PA"
1,02,42,42081,Northeast,Middle Atlantic,PA,Pennsylvania,"Lycoming County, PA"
1,02,42,42083,Northeast,Middle Atlantic,PA,Pennsylvania,"McKean County, PA"
1,02,42,42085,Northeast,Middle Atlantic,PA,Pennsylvania,"Mercer County, PA"
1,02,42,42087,Northeast,Middle Atlantic,PA,Pennsylvania,"Mifflin County, PA"
1,02,42,42089,Northeast,Middle Atlantic,PA,Pennsylvania,"Monroe County, PA"
1,02,42,42091,Northeast,Middle Atlantic,PA,Pennsylvania,"Montgomery County, PA"
