County Code,County Title,MSA Code,MSA Title,CSA Code,CSA Title
01001,"Autauga County, Alabama",C3386,"Montgomery, AL MSA",CS388,"Montgomery-Selma, AL CSA"
01003,"Baldwin County, Alabama",C1930,"Daphne-Fairhope-Foley, AL MSA",CS380,"Mobile-Daphne-Fairhope, AL CSA"
01005,"Barbour County, Alabama",C2164,"Eufaula, AL-GA MicroSA",,
01007,"Bibb County, Alabama",C1382,"Birmingham, AL MSA",CS142,"Birmingham-Cullman-Talladega, AL CSA"
01009,"Blount County, Alabama",C1382,"Birmingham, AL MSA",CS142,"Birmingham-Cullman-Talladega, AL CSA"
01015,"Calhoun County, Alabama",C1150,"Anniston-Oxford, AL MSA",,
01017,"Chambers County, Alabama",C2930,"LaGrange, GA-AL MicroSA",CS122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA"
01021,"Chilton County, Alabama",C1382,"Birmingham, AL MSA",CS142,"Birmingham-Cullman-Talladega, AL CSA"
01031,"Coffee County, Alabama",C2146,"Enterprise, AL MicroSA",CS222,"Dothan-Enterprise-Ozark, AL CSA"
01033,"Colbert County, Alabama",C2252,"Florence-Muscle Shoals, AL MSA",CS250,"Florence-Muscle Shoals-Russellville, AL CSA"
01037,"Coosa County, Alabama",C4518,"Talladega-Sylacauga, AL MicroSA",CS142,"Birmingham-Cullman-Talladega, AL CSA"
01043,"Cullman County, Alabama",C1898,"Cullman, AL MicroSA",CS142,"Birmingham-Cullman-Talladega, AL CSA"
01045,"Dale County, Alabama",C3712,"Ozark, AL MicroSA",CS222,"Dothan-Enterprise-Ozark, AL CSA"
01047,"Dallas County, Alabama",C4282,"Selma, AL MicroSA",CS388,"Montgomery-Selma, AL CSA"
01049,"DeKalb County, Alabama",C2284,"Fort Payne, AL MicroSA",CS290,"Huntsville-Decatur-Albertville, AL-TN CSA"
01051,"Elmore County, Alabama",C3386,"Montgomery, AL MSA",CS388,"Montgomery-Selma, AL CSA"
01055,"Etowah County, Alabama",C2346,"Gadsden, AL MSA",,
01059,"Franklin County, Alabama",C4077,"Russellville, AL MicroSA",CS250,"Florence-Muscle Shoals-Russellville, AL CSA"
01061,"Geneva County, Alabama",C2002,"Dothan, AL MSA",CS222,"Dothan-Enterprise-Ozark, AL CSA"
01063,"Greene County, Alabama",C4622,"Tuscaloosa, AL MSA",,
01065,"Hale County, Alabama",C4622,"Tuscaloosa, AL MSA",,
01067,"Henry County, Alabama",C2002,"Dothan, AL MSA",CS222,"Dothan-Enterprise-Ozark, AL CSA"
01069,"Houston County, Alabama",C2002,"Dothan, AL MSA",CS222,"Dothan-Enterprise-Ozark, AL CSA"
01071,"Jackson County, Alabama",C4246,"Scottsboro, AL MicroSA",CS174,"Chattanooga-Cleveland-Dalton, TN-GA-AL CSA"
01073,"Jefferson County, Alabama",C1382,"Birmingham, AL MSA",CS142,"Birmingham-Cullman-Talladega, AL CSA"
01077,"Lauderdale County, Alabama",C2252,"Florence-Muscle Shoals, AL MSA",CS250,"Florence-Muscle Shoals-Russellville, AL CSA"
01079,"Lawrence County, Alabama",C1946,"Decatur, AL MSA",CS290,"Huntsville-Decatur-Albertville, AL-TN CSA"
01081,"Lee County, Alabama",C1222,"Auburn-Opelika, AL MSA",CS194,"Columbus-Auburn-Opelika, GA-AL CSA"
01083,"Limestone County, Alabama",C2662,"Huntsville, AL MSA",CS290,"Huntsville-Decatur-Albertville, AL-TN CSA"
01085,"Lowndes County, Alabama",C3386,"Montgomery, AL MSA",CS388,"Montgomery-Selma, AL CSA"
01087,"Macon County, Alabama",C1222,"Auburn-Opelika, AL MSA",CS194,"Columbus-Auburn-Opelika, GA-AL CSA"
01089,"Madison County, Alabama",C2662,"Huntsville, AL MSA",CS290,"Huntsville-Decatur-Albertville, AL-TN CSA"
01095,"Marshall County, Alabama",C1070,"Albertville, AL MicroSA",CS290,"Huntsville-Decatur-Albertville, AL-TN CSA"
01097,"Mobile County, Alabama",C3366,"Mobile, AL MSA",CS380,"Mobile-Daphne-Fairhope, AL CSA"
01101,"Montgomery County, Alabama",C3386,"Montgomery, AL MSA",CS388,"Montgomery-Selma, AL CSA"
01103,"Morgan County, Alabama",C1946,"Decatur, AL MSA",CS290,"Huntsville-Decatur-Albertville, AL-TN CSA"
01107,"Pickens County, Alabama",C4622,"Tuscaloosa, AL MSA",,
01109,"Pike County, Alabama",C4598,"Troy, AL MicroSA",,
01113,"Russell County, Alabama",C1798,"Columbus, GA-AL MSA",CS194,"Columbus-Auburn-Opelika, GA-AL CSA"
01115,"St. Clair County, Alabama",C1382,"Birmingham, AL MSA",CS142,"Birmingham-Cullman-Talladega, AL CSA"
01117,"Shelby County, Alabama",C1382,"Birmingham, AL MSA",CS142,"Birmingham-Cullman-Talladega, AL CSA"
01121,"Talladega County, Alabama",C4518,"Talladega-Sylacauga, AL MicroSA",CS142,"Birmingham-Cullman-Talladega, AL CSA"
01123,"Tallapoosa County, Alabama",C1076,"Alexander City, AL MicroSA",CS194,"Columbus-Auburn-Opelika, GA-AL CSA"
01125,"Tuscaloosa County, Alabama",C4622,"Tuscaloosa, AL MSA",,
01127,"Walker County, Alabama",C1382,"Birmingham, AL MSA",CS142,"Birmingham-Cullman-Talladega, AL CSA"
02020,"Anchorage Municipality, Alaska",C1126,"Anchorage, AK MSA",,
02090,"Fairbanks North Star Borough, Alaska",C2182,"Fairbanks-College, AK MSA",,
02110,"Juneau City and Borough, Alaska",C2794,"Juneau, AK MicroSA",,
02130,"Ketchikan Gateway Borough, Alaska",C2854,"Ketchikan, AK MicroSA",,
02170,"Matanuska-Susitna Borough, Alaska",C1126,"Anchorage, AK MSA",,
04003,"Cochise County, Arizona",C4342,"Sierra Vista-Douglas, AZ MSA",,
04005,"Coconino County, Arizona",C2238,"Flagstaff, AZ MSA",,
04007,"Gila County, Arizona",C3774,"Payson, AZ MicroSA",CS429,"Phoenix-Mesa, AZ CSA"
04009,"Graham County, Arizona",C4094,"Safford, AZ MicroSA",,
04013,"Maricopa County, Arizona",C3806,"Phoenix-Mesa-Chandler, AZ MSA",CS429,"Phoenix-Mesa, AZ CSA"
04015,"Mohave County, Arizona",C2942,"Lake Havasu City-Kingman, AZ MSA",,
04017,"Navajo County, Arizona",C4332,"Show Low, AZ MicroSA",,
04019,"Pima County, Arizona",C4606,"Tucson, AZ MSA",CS536,"Tucson-Nogales, AZ CSA"
04021,"Pinal County, Arizona",C3806,"Phoenix-Mesa-Chandler, AZ MSA",CS429,"Phoenix-Mesa, AZ CSA"
04023,"Santa Cruz County, Arizona",C3570,"Nogales, AZ MicroSA",CS536,"Tucson-Nogales, AZ CSA"
04025,"Yavapai County, Arizona",C3915,"Prescott Valley-Prescott, AZ MSA",,
04027,"Yuma County, Arizona",C4974,"Yuma, AZ MSA",,
05005,"Baxter County, Arkansas",C3426,"Mountain Home, AR MicroSA",,
05007,"Benton County, Arkansas",C2222,"Fayetteville-Springdale-Rogers, AR MSA",,
05009,"Boone County, Arkansas",C2546,"Harrison, AR MicroSA",,
05013,"Calhoun County, Arkansas",C1578,"Camden, AR MicroSA",,
05019,"Clark County, Arkansas",C1166,"Arkadelphia, AR MicroSA",,
05025,"Cleveland County, Arkansas",C3822,"Pine Bluff, AR MicroSA",CS340,"Little Rock-North Little Rock, AR CSA"
05027,"Columbia County, Arkansas",C3162,"Magnolia, AR MicroSA",,
05031,"Craighead County, Arkansas",C2786,"Jonesboro, AR MSA",CS308,"Jonesboro-Paragould, AR CSA"
05033,"Crawford County, Arkansas",C2290,"Fort Smith, AR-OK MSA",,
05035,"Crittenden County, Arkansas",C3282,"Memphis, TN-MS-AR MSA",CS368,"Memphis-Clarksdale-Forrest City, TN-MS-AR CSA"
05045,"Faulkner County, Arkansas",C3078,"Little Rock-North Little Rock-Conway, AR MSA",CS340,"Little Rock-North Little Rock, AR CSA"
05051,"Garland County, Arkansas",C2630,"Hot Springs, AR MSA",CS284,"Hot Springs-Malvern, AR CSA"
05053,"Grant County, Arkansas",C3078,"Little Rock-North Little Rock-Conway, AR MSA",CS340,"Little Rock-North Little Rock, AR CSA"
05055,"Greene County, Arkansas",C3750,"Paragould, AR MicroSA",CS308,"Jonesboro-Paragould, AR CSA"
05059,"Hot Spring County, Arkansas",C3168,"Malvern, AR MicroSA",CS284,"Hot Springs-Malvern, AR CSA"
05063,"Independence County, Arkansas",C1290,"Batesville, AR MicroSA",,
05069,"Jefferson County, Arkansas",C3822,"Pine Bluff, AR MicroSA",CS340,"Little Rock-North Little Rock, AR CSA"
05081,"Little River County, Arkansas",C4550,"Texarkana, TX-AR MSA",,
05085,"Lonoke County, Arkansas",C3078,"Little Rock-North Little Rock-Conway, AR MSA",CS340,"Little Rock-North Little Rock, AR CSA"
05087,"Madison County, Arkansas",C2222,"Fayetteville-Springdale-Rogers, AR MSA",,
05091,"Miller County, Arkansas",C4550,"Texarkana, TX-AR MSA",,
05093,"Mississippi County, Arkansas",C1418,"Blytheville, AR MicroSA",,
05101,"Newton County, Arkansas",C2546,"Harrison, AR MicroSA",,
05103,"Ouachita County, Arkansas",C1578,"Camden, AR MicroSA",,
05105,"Perry County, Arkansas",C3078,"Little Rock-North Little Rock-Conway, AR MSA",CS340,"Little Rock-North Little Rock, AR CSA"
05111,"Poinsett County, Arkansas",C2786,"Jonesboro, AR MSA",CS308,"Jonesboro-Paragould, AR CSA"
05115,"Pope County, Arkansas",C4078,"Russellville, AR MicroSA",,
05119,"Pulaski County, Arkansas",C3078,"Little Rock-North Little Rock-Conway, AR MSA",CS340,"Little Rock-North Little Rock, AR CSA"
05123,"St. Francis County, Arkansas",C2262,"Forrest City, AR MicroSA",CS368,"Memphis-Clarksdale-Forrest City, TN-MS-AR CSA"
05125,"Saline County, Arkansas",C3078,"Little Rock-North Little Rock-Conway, AR MSA",CS340,"Little Rock-North Little Rock, AR CSA"
05131,"Sebastian County, Arkansas",C2290,"Fort Smith, AR-OK MSA",,
05139,"Union County, Arkansas",C2098,"El Dorado, AR MicroSA",,
05143,"Washington County, Arkansas",C2222,"Fayetteville-Springdale-Rogers, AR MSA",,
05145,"White County, Arkansas",C4262,"Searcy, AR MicroSA",CS340,"Little Rock-North Little Rock, AR CSA"
05149,"Yell County, Arkansas",C4078,"Russellville, AR MicroSA",,
06001,"Alameda County, California",C4186,"San Francisco-Oakland-Fremont, CA MSA",CS488,"San Jose-San Francisco-Oakland, CA CSA"
